"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"303";"Multifunctional augmented reality glasses";"ZHANG CHUNJUAN";"SHENZHEN CHUANZHI TECH CO LTD";"CN109254406A 
CN109254406B";"2018-11-07";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0138 (CN) 
G02B2027/014 (CN) 
G02B2027/0178 (CN)";"2019-01-22 
2025-01-21";"2019-01-22";"065043441";
"304";"LOW LATENCY CHROMA KEYING EMBEDDED IN A HEAD-MOUNTED DISPLAY FOR MIXED REALITY";"CHAPDELAINE-COUTURE VINCENT [CA] 
GHANNOUM ANTHONY [US] 
COTE YAN [CA] 
LUSTIGMAN IRVING [CA] 
CHENIER MARC-ANDRE [CA] 
FORTIN-DESCHENES SIMON [US] 
NEPVEU BERTRAND [US]";"APPLE INC [US]";"US11778154B2 
US2020252593A1";"2017-08-09";"G06T19/00 
H04N13/344 
H04N5/265 
H04N9/75";"G06T19/006 (US) 
H04N13/344 (US) 
H04N5/2224 (EP) 
H04N5/265 (US) 
H04N9/75 (EP,US)";"2020-08-06 
2023-10-03";"2019-02-14";"063524366";
"305";"Augmented reality glasses auxiliary device for vehicles";"KO CHUNG-NAN [TW]";"FOXCONN INTERCONNECT TECHNOLOGY LTD [KY]";"TW202033394A 
TWI834799B";"2019-01-28";"B60W40/09 
B60W50/14";"B60Q9/00 (US) 
B60R1/002 (US) 
B60R16/02 (CN) 
G02B27/0172 (US) 
G02B27/0179 (US) 
G06F1/163 (EP) 
G06F3/011 (EP) 
G06F3/012 (EP,CN,US) 
G06F3/016 (EP) 
G06F3/04883 (US) 
G06V20/20 (EP) 
G06V20/597 (EP) 
G08G1/0962 (EP) 
G08G1/168 (EP,US) 
B60R2300/10 (US) 
B60R2300/20 (CN) 
B60R2300/202 (US) 
B60R2300/802 (US) 
G02B2027/0138 (US) 
G02B2027/0141 (US) 
G02B2027/0178 (US) 
G02B2027/0187 (US)";"2020-09-16 
2024-03-11";"2020-07-30";"071732123";
"306";"AUDIBLE AND VISUAL OPERATIONAL MODES FOR A HEAD-MOUNTED DISPLAY DEVICE";"PARKINSON CHRISTOPHER IAIN [US] 
JHAWAR SANJAY SUBIR [US] 
POMBO STEPHEN A [US] 
LUSTIG KENNETH [US]";"REALWEAR INC [US]";"US11061527B2 
US2020225808A1";"2017-09-06";"G06F1/16 
G06F3/01 
G06F3/0362 
G06F3/0481 
H04R1/02 
H04R1/10 
H04S7/00 
G08B3/10 
G08B5/36";"G02B27/0093 (EP) 
G02B27/0176 (EP) 
G06F1/163 (EP,US) 
G06F1/1694 (US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/0362 (EP,US) 
G06F3/0481 (US) 
H04R1/028 (US) 
H04R1/1041 (EP,US) 
H04S7/304 (EP,US) 
G02B2027/0138 (EP) 
G08B3/10 (US) 
G08B5/36 (US) 
H04R1/1008 (EP,US) 
H04S2400/11 (EP,US) 
H04S2400/15 (EP,US)";"2020-07-16 
2021-07-13";"2019-03-07";"065517347";
"307";"SYSTEM AND METHOD FOR DETERMINING A POSE OF AUGMENTED REALITY GLASSES, SYSTEM AND METHOD FOR CALIBRATING AUGMENTED REALITY GLASSES, METHOD FOR ASSISTING A DETERMINATION OF THE POSE OF AUGMENTED REALITY GLASSES AND MOTOR VEHICLE SUITABLE FOR THE METHOD";"HAAR ADRIAN [DE] 
TÜMLER JOHANNES [DE]";"VOLKSWAGEN AG [DE]";"EP3707547A1 
EP3707547B1";"2017-11-07";"G02B27/00 
G02B27/01 
B60R16/02";"B60R16/02 (EP) 
G02B27/0093 (EP) 
G02B27/017 (EP) 
G02B2027/0138 (EP) 
G02B2027/0187 (EP)";"2020-09-16 
2024-07-31";"2019-05-09";"063896103";
"308";"OPTICAL MODULE AND AUGMENTED-REALITY GLASSES";"WANG QIMENG [CN] 
DING WUWEN [CN]";"HUAWEI TECH CO LTD [CN]";"WO2024198613A1";"2023-03-29";"G06V40/18 
G02B27/01 
G02B6/00";"G02B27/00 (EP) 
G02B27/0093 (CN) 
G02B27/0172 (CN) 
G06F21/32 (EP,CN) 
G06V40/00 (EP,CN) 
G06V40/18 (EP) 
G06V40/19 (EP,CN) 
G02B2027/0178 (CN) 
G02B27/01 (EP) 
G02B6/00 (EP)";"2024-10-03";"2024-10-01";"092852232";
"309";"Head-mounted display device";"LIU LINGYUN 
YANG LINLIN 
LIN YIBANG";"HUAWEI TECH CO LTD";"CN118050895A";"2022-11-15";"G02B27/01 
H01R13/73";"G02B27/017 (CN) 
H01R13/73 (CN)";"2024-05-17";"2024-05-17";"091048865";
"310";"SMART GLASSES COMPRISING USER INTERFACE OF HANDSFREE TYPE";"RYU JOONG GON [KR]";"ELENTEC CO LTD [KR]";"KR20160062971A";"2014-11-26";"G02B27/01 
G02B27/02";"G02B27/01 (KR) 
G02B27/0101 (KR) 
G02B27/02 (KR)";"2016-06-03";"2016-06-03";"056192258";
"311";"AUGMENTED REALITY DEVICE BASED ON WAVEGUIDE WITH VARIABLE CURVATURE, METHOD FOR OPERATING THE AUGMENTED REALITY DEVICE, AUGMENTED REALITY GLASSES, OPTICAL COMPENSATOR";"BORISOV VLADIMIR NIKOLAEVICH [RU] 
ANGERVAKS ALEKSANDR EVGENYEVICH [RU] 
MURAVEV NIKOLAY VIKTOROVICH [RU] 
OKUN ROMAN ALEKSANDROVICH [RU] 
VOSTRIKOV GAVRIL NIKOLAEVICH [RU] 
POPOV MIKHAIL VYACHESLAVOVICH [RU] 
RYU JAEYEOL [KR] 
KWAK KYUSUB [KR] 
YUN JEONGGEUN [KR] 
CHOI JONGCHUL [KR] 
CHOI MYONGJO [KR]";"SAMSUNG ELECTRONICS CO LTD [KR]";"WO2023048373A1";"2021-09-22";"G02B27/01 
G02B27/42 
G02B5/18 
G02B6/00 
G03B21/10";"G02B27/0081 (EP) 
G02B27/0172 (EP) 
G02B3/0081 (EP) 
G02B2027/011 (EP) 
G02B2027/0125 (EP) 
G02B2027/0178 (EP) 
G02B6/0011 (EP)";"2023-03-30";"2023-03-30";"085720838";
"312";"Head-Mounted Display With Low Light Operation";"POORE KILLIAN J [US] 
DEY STEPHEN E [US] 
NESS TREVOR J [US] 
ROTHKOPF FLETCHER R [US]";"APPLE INC [US]";"US11733518B2 
US2020341563A1";"2019-04-26";"G06F3/0346 
G02B27/01 
G06V10/80 
G06V20/20";"G02B27/0172 (EP,CN,US) 
G06F18/251 (EP) 
G06F3/011 (EP) 
G06F3/012 (EP) 
G06F3/0346 (US) 
G06V10/803 (EP,US) 
G06V20/20 (EP,US) 
G02B2027/0138 (EP) 
G02B2027/014 (EP) 
G02B23/125 (EP) 
G02B27/017 (US)";"2020-10-29 
2023-08-22";"2020-10-29";"072916983";
"313";"NEAR-EYE DISPLAY DEVICE, AUGENTED REALITY GLASSES INCLUDING SAME, AND OPERATING METHOD THEREFOR";"MURAVEV NIKOLAY VICTOROVICH [RU] 
PISKUNOV DMITRIY EVGENYEVICH [RU] 
VOSTRIKOV GAVRIL NIKOLAEVICH [RU] 
PUTILIN ANDREY NIKOLAEVICH [RU]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US12332443B2 
US2022107501A1";"2019-07-12";"F21V8/00 
G02B27/01";"G02B1/10 (EP) 
G02B27/0101 (CN) 
G02B27/0172 (EP,CN,US) 
G02B5/18 (EP) 
G02B6/0036 (US) 
G02B6/0055 (US) 
G02B2027/0105 (CN) 
G02B2027/0123 (CN) 
G02B2027/0125 (EP) 
G02B2027/0178 (CN,US)";"2022-04-07 
2025-06-17";"2021-01-21";"074209768";
"314";"Wearable device of augmented reality glasses capable of forming augmented reality images";"CHUANG HSU-HUI [TW] 
OU SHENG-WEN [TW] 
HISEH SHIH-YU [TW]";"TOP VICTORY INVESTMENTS LTD [HK]";"TW202132863A 
TWI721798B";"2020-02-27";"G02B27/01 
G02C3/00";"";"2021-09-01 
2021-03-11";"2021-03-11";"076035990";
"315";"Augmented reality display equipment, driving method of augmented reality display equipment, and augmented reality glasses";"LING QIUYU 
WANG WEI 
MENG XIANDONG 
CHEN XIAOCHUAN";"BOE TECHNOLOGY GROUP CO LTD";"CN110221440A";"2019-07-29";"G02B27/01 
G02B27/22 
G02F1/1343";"G02B27/0172 (CN) 
G02B30/27 (CN) 
G02F1/134309 (CN) 
G02B2027/0178 (CN)";"2019-09-10";"2019-09-10";"067813770";
"316";"Eye tracker in an augmented reality glasses for eye gaze to input displayed input icons";"CLEMENTS SIGMUND LINDSAY [CA]";"CLEMENTS SIGMUND LINDSAY [CA]";"US10802582B1";"2014-04-22";"G02B27/01 
G06F3/01 
G06F3/0481 
G06F3/0488 
G06F3/16 
G06T19/00";"B66B1/468 (EP) 
G02B27/017 (EP,US) 
G06F3/011 (EP) 
G06F3/013 (EP,US) 
G06F3/017 (EP) 
G06F3/04817 (EP,US) 
G06F3/0488 (US) 
G06F3/167 (US) 
G06T19/006 (US) 
B66B2201/4638 (EP) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP) 
G02B27/0093 (EP) 
G06F3/04815 (EP)";"2020-10-13";"2020-10-13";"072750190";
"317";"AUGMENTED REALITY DEVICE BASED ON WAVEGUIDE WITH VARIABLE CURVATURE, METHOD FOR OPERATING THE AUGMENTED REALITY DEVICE, AUGMENTED REALITY GLASSES, OPTICAL COMPENSATOR";"BORISOV VLADIMIR NIKOLAEVICH [RU] 
ANGERVAKS ALEKSANDR EVGENYEVICH [RU] 
MURAVEV NIKOLAY VIKTOROVICH [RU] 
OKUN ROMAN ALEKSANDROVICH [RU] 
VOSTRIKOV GAVRIL NIKOLAEVICH [RU] 
POPOV MIKHAIL VYACHESLAVOVICH [RU] 
RYU JAEYEOL [KR] 
KWAK KYUSUB [KR] 
YUN JEONGGEUN [KR] 
CHOI JONGCHUL [KR] 
CHOI MYONGJO [KR]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US12386180B2 
US2023090308A1";"2021-09-22";"F21V8/00 
G02B27/01 
G02B6/00";"G02B27/0037 (EP) 
G02B27/0081 (EP) 
G02B27/0172 (EP,US) 
G02B3/0081 (EP) 
G02B6/0016 (US) 
G02B6/0035 (US) 
G02B2027/011 (EP,US) 
G02B2027/0125 (EP) 
G02B2027/0178 (EP,US) 
G02B6/0011 (EP)";"2023-03-23 
2025-08-12";"2023-03-23";"085572569";
"318";"Augmented reality glasses and adjustment method";"LI HUA";"OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD";"CN110244466A 
CN110244466B";"2019-07-11";"G02B27/01";"G02B27/017 (CN) 
G02B27/0179 (CN) 
G02B2027/0178 (CN)";"2019-09-17 
2021-09-07";"2019-09-17";"067891985";
"319";"Augmented reality glasses device";"LIANG CIZHEN";"QUANTA COMP INC";"CN115755390A";"2021-09-03";"G02B27/01 
G06F3/01 
G06T19/00";"";"2023-03-07";"2023-03-07";"085332796";
"320";"Augmented Reality Glasses for Enhanced Vision and Integration in Beauty Product Application";"AIDAN CHRISTOPHER [US]";"ELC MAN LLC [US]";"US20260069020A1";"2024-09-10";"A45D44/00 
G02B27/01 
G06F3/01 
G06V10/141 
G06V40/16";"A45D44/005 (EP,US) 
G02B27/0101 (EP,US) 
G02B27/017 (EP,US) 
G06F3/011 (EP,US) 
G06V10/141 (EP,US) 
G06V40/171 (EP,US) 
A45D2044/007 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/0178 (EP,US)";"2026-03-12";"2026-03-12";"098980938";
"321";"Head-mounted display and method for adjusting camera thereof";"ZHANG QIQI 
YANG LINLIN 
LIN YIBANG";"HUAWEI TECH CO LTD";"CN118033903A";"2022-11-11";"F16H19/04 
F16M11/12 
F16M11/18 
G02B27/01";"F16H19/04 (CN) 
F16M11/12 (CN) 
F16M11/18 (CN) 
G02B27/0172 (CN) 
G02B27/0176 (CN) 
G02B2027/0138 (CN)";"2024-05-14";"2024-05-14";"090994002";
"322";"COMPACT AUGMENTED REALITY GLASSES WITH FOLDED IMAGING OPTICS";"MA JIAN JIM [US] 
HONG JOHN HYUNCHUL [US] 
CHANG TALLIS YOUNG [US]";"QUALCOMM INC [US]";"US2018024366A1 
US9927615B2";"2016-07-25";"G02B27/01 
G02B27/28 
G02B27/00";"G02B27/0172 (EP,US) 
G02B27/1066 (EP,US) 
G02B27/283 (EP,US) 
G02B2027/0123 (EP,US) 
G02B2027/0178 (EP,US)";"2018-01-25 
2018-03-27";"2018-01-25";"060987934";
"323";"Augmented reality light machine module and augmented reality glasses";"CHENG YUFAN 
LIU JUN 
XUAN CHENGMING 
FAN SHULIN";"SEEYA TECH CO LTD";"CN218675517U";"2022-09-30";"G02B27/01";"";"2023-03-21";"2023-03-21";"085561835";
"324";"Reflective augmented reality display system and AR glasses";"HUANG QINHUA 
LI WENQUAN";"SHENZHEN SKYWORTH NEW WORLD TECH CO LTD";"CN209542959U";"2018-12-12";"G02B27/01 
G02B27/28";"";"2019-10-25";"2019-10-25";"068264232";
"325";"Head-mounted display system";"BERME NECIP [US] 
BERME MURAT KERIM [US] 
BARO MOHAN CHANDRA [US]";"BERTEC CORP [US]";"US12535679B1";"2022-10-13";"G01L1/22 
G02B27/00 
G02B27/01 
G06F3/033 
G06V20/20 
G06V40/20";"A61B5/1036 (EP) 
A61B5/4023 (EP) 
G01L1/2262 (EP,US) 
G02B27/0093 (EP,US) 
G02B27/017 (EP) 
G02B27/0172 (EP,US) 
G02B27/0176 (US) 
G06F3/011 (EP) 
G06F3/012 (EP) 
G06F3/013 (EP) 
G06F3/016 (EP) 
G06F3/017 (EP) 
G06F3/0334 (EP,US) 
G06V20/20 (EP,US) 
G06V40/25 (EP,US) 
A61B5/486 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP) 
G02B27/0176 (EP)";"2026-01-27";"2026-01-27";"098566820";
"326";"Mixed reality space interaction method, mixed reality terminal and head-mounted display equipment";"ZHANG SHENGWEI 
BAO YAJUN 
LU MAN 
WU ZHILONG";"HANGZHOU LINGBAN TECH CO LTD";"CN119718066A";"2023-09-28";"G02B27/01 
G06F3/01 
G06F3/04815 
G06T19/00 
G06V10/46 
G06V10/75 
G06V20/20";"";"2025-03-28";"2025-03-28";"095093727";
"327";"APPARATUS AND METHOD FOR TRACKING A FOCAL POINT IN A HEAD MOUNTED DISPLAY SYSTEM";"SUZUKI MASAKI [US] 
PERDICES-GONZALEZ SERGIO [US] 
MISTRY PRANAV [US]";"SAMSUNG ELECTRONICS CO LTD [KR]";"EP3521978A1 
EP3521978B1";"2018-02-05";"G06F3/01 
G06F3/0481";"G06F3/013 (EP,US) 
G06F3/04815 (EP,US) 
G06T11/60 (EP,US) 
G06V40/193 (US)";"2019-08-07 
2021-11-24";"2019-08-07";"065324174";
"328";"HMD MAINTENANCE SUPPORT SYSTEM USING MIXED REALITY HEAD MOUNTED DISPLAY";"LEE BOK EUN [KR]";"SC CREATIVE CO LTD [KR]";"KR102527405B1";"2022-12-26";"G02B27/01 
G05B23/02 
G06Q50/02 
G06Q50/10 
G06T19/00 
H04N13/332";"";"2023-04-28";"2023-04-28";"086143261";
"329";"IRIS DIAGNOSIS SYSTEM USING AR GLASSES APPARATUS";"CHIWON CHOI 
KIM SEHO";"P&C SOLUTION CO LTD [KR]";"KR102784080B1 
KR20240042965A";"2022-09-26";"A61B3/00 
A61B3/12 
A61B3/14 
A61B90/00 
G02B27/01 
G16H50/20";"A61B3/0025 (KR) 
A61B3/005 (KR) 
A61B3/1216 (KR) 
A61B3/14 (KR) 
A61B90/36 (KR) 
G02B27/017 (KR) 
G06V40/18 (KR) 
G16H50/20 (KR) 
A61B2090/365 (KR)";"2024-04-02 
2025-03-21";"2024-04-02";"090714683";
"330";"Augmented reality glasses";"XIE ZHANGTAO 
ZHENG YU";"BEIJING LINGXI WEIGUANG TECH CO LTD";"CN207601424U";"2017-06-22";"G02B27/01";"";"2018-07-10";"2018-07-10";"062753133";
"331";"HEAD-MOUNTED DISPLAY DEVICE, AND CONTROL METHOD OF HEAD-MOUNTED DISPLAY DEVICE";"FUJIMAKI YUKI";"SEIKO EPSON CORP";"JP2014192550A 
JP6337418B2";"2013-03-26";"G02B27/02 
G09G3/20 
H04N13/04 
H04N5/64 
H04N13/20 
H04N13/30";"";"2014-10-06 
2018-06-06";"2014-10-06";"051838489";
"332";"Augmented reality shows optical system and augmented reality glasses";"";"SHENZHEN SKYWORTH NEW WORLD TECH CO LTD";"CN207488622U";"2017-12-08";"G02B27/01";"";"2018-06-12";"2018-06-12";"062457867";
"333";"Optical modulex and augmented reality glasses";"ZHANG YUAN 
ZHAO DONGFENG 
CUI HAIMING 
YANG CHUN 
ZHAO BOGANG";"GOERTEK TECH CO LTD";"CN206684389U";"2017-04-28";"G02B27/01 
G02B27/28";"";"2017-11-28";"2017-11-28";"060406852";
"334";"AUGMENTED REALITY GLASSES";"TANG BAOHUA [CN]";"K TRONICS SUZHOU TECH CO LTD [CN] 
BOE TECHNOLOGY GROUP CO LTD [CN]";"US11892643B2 
US2023120469A1";"2019-12-13";"G02B27/01";"G02B27/0172 (US) 
G02B27/0176 (EP,US) 
G02B2027/0178 (EP,US)";"2023-04-20 
2024-02-06";"2021-06-17";"076329385";
"335";"Augmented reality glasses control method and device, storage medium and electronic equipment";"ZHANG XI 
LIN DINGHAO 
LI YOU 
ZHANG XIAOLI 
ZHANG MINGHUA";"OPPO GUANGDONG MOBILE COMMUNICATION CO LTD";"CN114356089A";"2021-12-30";"G06F3/01 
G06N3/04 
G06N3/08 
G06V10/774 
G06V10/82 
G06V20/20";"";"2022-04-15";"2022-04-15";"081105336";
"336";"AUGMENTED REALITY SYSTEM AND METHOD OF DISPLAYING VIRTUAL SCREEN USING AUGMENTED REALITY GLASSES";"HUANG YUNG-CHENG [TW] 
KAO SHU-KUO [TW]";"ACER INC [TW]";"US11249315B2 
US2021318541A1";"2020-04-13";"G02B27/01 
G06K9/00 
G06T19/00";"G02B27/017 (EP) 
G02B27/0172 (US) 
G06F3/011 (EP) 
G06F3/013 (EP) 
G06F3/017 (EP) 
G06F3/0481 (EP) 
G06T19/006 (US) 
G06V10/245 (EP) 
G06V40/20 (EP,US) 
G02B2027/0138 (EP) 
G02B2027/014 (EP) 
G02B2027/0178 (US)";"2021-10-14 
2022-02-15";"2021-10-14";"078006174";
"337";"HEAD-MOUNTED DISPLAY DEVICE SUPPORTING VOICE COMMAND DEPENDENT ON PROGRAM, AND METHOD FOR SUPPORTING VOICE COMMAND DEPENDENT ON PROGRAM, FOR HEAD-MOUNTED DISPLAY DEVICE";"CHOI CHIWON [KR] 
BACK JEE YEOP [KR] 
KIM JEONG HWAN [KR]";"P&C SOLUTION [KR]";"WO2023054827A1";"2021-09-28";"G02B27/01 
G06F3/16 
G10L15/22 
G10L15/26";"G02B27/01 (EP) 
G02B27/0176 (KR) 
G06F3/16 (EP) 
G06F3/167 (KR) 
G10L15/22 (EP,KR) 
G10L15/26 (EP,KR)";"2023-04-06";"2023-04-04";"085783012";
"338";"METHOD FOR PROVIDING AUGMENTED REALITY IMAGE AND HEAD MOUNTED DISPLAY DEVICE SUPPORTING THE SAME";"JEONG EUNSU [KR] 
BOK ILGEUN [KR] 
CHANG CHULSANG [KR]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US11927756B2 
US2022317453A1";"2021-04-01";"G02B27/01 
G06T11/00 
G09G3/00 
H04R1/02";"G02B27/0172 (US) 
G06T11/00 (EP,US) 
G09G3/002 (US) 
H04R1/028 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (US) 
G06F3/147 (EP) 
G06T2207/20092 (US) 
G09G2354/00 (US) 
H04R2499/15 (EP,US)";"2022-10-06 
2024-03-12";"2022-10-06";"083448970";
"339";"TECHNIQUES FOR OPTIMIZING A DISPLAY LOCATION FOR DISPLAYING AUGMENTED-REALITY (AR) CONTENT USING AR GLASSES, AND DEVICES AND METHODS OF USING SUCH TECHNIQUES";"FAUNCE JONATHAN [US]";"META PLATFORMS TECH LLC [US]";"US20260010008A1";"2024-07-03";"G02B27/01 
G06V20/50";"G02B27/0093 (EP) 
G02B27/0172 (EP,US) 
G02B27/0176 (EP,US) 
G06V20/50 (EP,US) 
G02B2027/0178 (EP)";"2026-01-08";"2026-01-08";"098371327";
"340";"HEAD MOUNTED DISPLAY AND METHOD FOR CONTROLLING THE SAME";"KIM JIHYUN [KR]";"LG ELECTRONICS INC [KR]";"US2014192085A1 
US9147290B2";"2013-01-04";"G06T19/00 
G02B27/01 
G06F3/01 
G07B11/00";"G01S19/51 (EP,US) 
G02B27/0101 (CN) 
G02B27/017 (EP,CN,US) 
G02B27/02 (KR) 
G02B27/04 (KR) 
G06F3/011 (EP,US) 
G06T19/006 (EP,US) 
G06V20/20 (EP,US) 
G07B11/00 (EP,US) 
G02B2027/0138 (EP,CN,US) 
G02B2027/014 (EP,CN,US) 
G02B2027/0187 (EP,US) 
H04L51/222 (EP,US)";"2014-07-10 
2015-09-29";"2014-07-10";"051060629";
"341";"Augmented reality glasses";"BI XIANGANG 
ZHANG YUNING";"GOERTEK TECH CO LTD";"CN211061786U";"2019-12-30";"G02B27/01 
H04R1/10";"";"2020-07-21";"2020-07-21";"071592329";
"342";"AI AR Method for providing Warehouse Management System using AR glasses equipped with AI based finger tracking and apparatus therefor";"HONG EUI SEOK";"JNE WORKS CO LTD [KR]";"KR20230057050A";"2021-10-21";"G02B27/01 
G06F3/0488 
G06N20/00 
G06Q10/08 
G06Q10/10 
G06T19/00";"G02B27/017 (KR) 
G06F3/017 (KR) 
G06F3/0488 (KR) 
G06N20/00 (KR) 
G06Q10/087 (KR) 
G06Q10/10 (KR) 
G06T19/006 (KR) 
G02B2027/0178 (KR)";"2023-04-28";"2023-04-28";"086143429";
"343";"Telescopic augmented reality glasses";"WANG AOLI";"WANG AOLI";"CN204256270U";"2014-12-02";"G02B27/01 
G02C11/00";"";"2015-04-08";"2015-04-08";"052960558";
"344";"HANDS FREE IMAGE VIEWING ON HEAD MOUNTED DISPLAY";"VARGAS AARON MICHAEL [US] 
AALAMI OLIVER [US]";"VARGAS AARON MICHAEL [US] 
AALAMI OLIVER [US]";"US2015346813A1";"2014-06-03";"G06F3/01 
G06F3/0481 
G06F3/0484";"G06F3/012 (EP,US) 
G06F3/017 (EP,US) 
G06F3/0485 (EP,US) 
G06F2203/04806 (EP,US)";"2015-12-03";"2015-12-03";"054701676";
"345";"OPTICAL MODULE AND AUGMENTED REALITY GLASSES";"ZHANG YUAN [CN] 
ZHAO DONGFENG [CN] 
CUI HAIMING [CN] 
YANG CHUN [CN] 
ZHAO BOGANG [CN]";"GOERTEK TECH CO LTD [CN]";"WO2018196108A1";"2017-04-28";"G02B27/01";"G02B27/01 (EP)";"2018-11-01";"2018-11-01";"063918084";
"346";"OPTICAL TRUE TIME DELAY CIRCUIT IN A HEAD-MOUNTED DISPLAY";"MULLINS BRIAN [US] 
KAMMERAIT MATTHEW [US]";"MULLINS BRIAN [US] 
KAMMERAIT MATTHEW [US]";"US2017092232A1";"2015-09-30";"G02B27/01 
G06T19/00 
G06T7/00 
G09G5/00 
G09G5/18 
H04N19/136";"G02B27/0172 (EP,US) 
G06T19/006 (US) 
G06T7/593 (US) 
G09G5/006 (EP,US) 
G09G5/18 (US) 
H04N19/136 (US) 
G02B2027/0127 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
H04N19/597 (EP)";"2017-03-30";"2017-03-30";"058406601";
"347";"HEAD-MOUNTED DISPLAY DEVICE WITH SELECTIVE COLOR SEE-THROUGH VISOR";"MAY KEENAN [US]";"MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2025085544A1";"2023-09-12";"G02B27/00 
G02B27/01 
G06T19/00";"G02B27/0093 (US) 
G02B27/0172 (EP,US) 
G06T19/006 (US) 
G02B2027/0112 (EP) 
G02B2027/0118 (EP) 
G02B2027/0178 (US)";"2025-03-13";"2025-03-13";"092843393";
"348";"REFLECTIVE AUGMENTED REALITY HEAD-MOUNTED DISPLAY";"WANG JIE [CN] 
TANG SIYUAN [CN]";"VR TECH SHENZHEN LIMITED [CN]";"WO2019128750A1";"2017-12-31";"G02B27/00 
G02B27/01";"G02B27/00 (EP) 
G02B27/01 (EP)";"2019-07-04";"2019-07-04";"067066549";
"349";"Flip type mobile-end augmented reality head-mounted display";"WANG JIE 
TOONG SEE WAN";"SHENZHEN VIRTUAL REALITY TECH CO LTD";"CN108169905A";"2017-12-31";"G02B27/01";"G02B27/0172 (CN)";"2018-06-15";"2018-06-15";"062516703";
"350";"ADJUSTING DISPLAY SETTINGS OF A HEAD-MOUNTED DISPLAY";"NASTI JOSEPH VINCENT [US] 
QIAN MING [US] 
SCHWARZ DAVID ALEXANDER [US] 
WANG SONG [US]";"LENOVO SINGAPORE PTE LTD [SG]";"US11056075B2 
US2020312269A1";"2019-03-27";"A61B5/0478 
A61B3/00 
A61B3/028 
A61B5/00 
G06F3/01 
G09G5/00 
A61B5/291";"A61B3/0025 (US) 
A61B3/028 (US) 
A61B5/165 (EP) 
A61B5/291 (EP,US) 
A61B5/384 (EP,US) 
A61B5/6803 (EP,US) 
A61B5/6898 (EP) 
A61B5/7445 (EP) 
G06F3/011 (EP) 
G06F3/015 (EP,US) 
G06F3/147 (EP) 
G09G5/006 (US) 
A61B5/0205 (EP) 
A61B5/021 (EP) 
A61B5/024 (EP) 
G09G2320/0626 (EP) 
G09G2320/066 (US) 
G09G2320/0666 (EP,US) 
G09G2320/08 (EP,US) 
G09G2340/04 (EP) 
G09G2340/0407 (US) 
G09G2340/045 (US) 
G09G2340/12 (EP) 
G09G2354/00 (EP,US)";"2020-10-01 
2021-07-06";"2020-10-01";"072604636";
"351";"Monocular augmented reality system, binocular augmented reality system and head-mounted display";"GU ZHIYUAN 
ZHENG YU";"JOURNEYTECH INC";"CN113238382A 
CN113238382B";"2021-06-11";"G02B27/01 
G02B6/00";"G02B27/0172 (CN) 
G02B6/005 (CN) 
G02B2027/0123 (CN) 
G02B2027/0132 (CN) 
G02B2027/0178 (CN)";"2021-08-10 
2025-07-08";"2021-08-10";"077139545";
